model,cv_accuracy,test_accuracy,precision,recall,f1,auc
KNN,0.9139084507042254,0.47394366197183097,0.4712328767123288,0.4879432624113475,0.47944250871080135,0.47640430491494323
Random Forest,0.9345070422535212,0.48169014084507045,0.47737226277372263,0.46382978723404256,0.47050359712230216,0.48871100530675
SVM,0.9193661971830986,0.4732394366197183,0.4696755994358251,0.4723404255319149,0.471004243281471,0.4857967564350543
